source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,phot_g_mean_mag,ra_error,dec_error,ra_dec_corr,ra_parallax_corr,dec_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,ruwe
6729187672268648832,283.4183144183284,-38.616458311273774,80.41443827427436,0.026847826,353.2289049356838,0.027026037,-924.7968353045794,0.023486191,-71.0379,0.25597697,11.327122,0.022966549,0.023041757,0.21578135,-0.112139285,-0.38256323,-0.18170811,-0.25735798,-0.1401766,-0.4329023,-0.20571068,0.17897452,0.08939437,1.0034502
6381623044470172672,340.4960624875462,-75.00821792446833,80.39596371946803,0.027306559,-75.78682712777942,0.029295431,217.18337591881175,0.029648684,20.462433,29.470633,13.919268,0.021705652,0.023287704,-0.09772733,0.019653711,-0.2879328,-0.017099133,0.04423374,0.11420023,0.06848209,-0.2441826,-0.14858043,-0.06112415,1.2429888
167202325215063168,60.40425876511105,28.830850805459676,80.3803592551793,0.21024427,-468.257296045708,0.2588888,-102.60845638930972,0.15646195,,,18.532524,0.16678955,0.11012087,0.5197593,0.12977071,0.04786082,0.08116781,0.2172816,0.010739265,0.5651132,0.20392117,-0.15191533,0.042459257,1.0696359
4705628051386514304,16.02568403467347,-65.37498961991618,80.34366954677688,0.019667704,-310.307530890034,0.023186015,-173.64934383088215,0.023138754,8.358478,0.89521754,12.447152,0.017051654,0.017706288,-0.11253976,0.09759419,0.16833718,-0.1580283,0.12379591,0.1320548,0.024367258,-0.067564964,-0.17282559,-0.13271576,1.1828929
156150240492946816,77.66340440529314,29.78023889010632,80.33526045489403,0.03306636,-246.89890116230157,0.034197498,57.78197178694594,0.02488421,-35.867126,0.21991962,11.322462,0.028063182,0.016692854,-0.010746707,0.18777339,-0.23282021,-0.066247225,0.32029453,0.22677158,-0.43911314,0.21621679,0.40884987,-0.05875206,1.2985197
5538156819768871552,118.72808136767863,-38.1588602813617,80.25741014512566,0.024149928,-76.02161676626221,0.024608113,367.68810016068414,0.026369644,,,13.508811,0.017358903,0.021280851,0.014540296,0.029841026,0.25475958,-0.10829922,0.0059198374,0.07278032,-0.14187017,0.25164405,-0.1011248,-0.08396191,1.1313317
2635476908753563008,346.62652162764437,-5.043528319429532,80.21231612635748,0.07160574,930.7875225817781,0.08676905,-479.0375409528857,0.07048742,,,15.622554,0.06155795,0.053622354,0.05141225,0.15025367,-0.36168772,-0.03808498,-0.09992238,-0.12260963,0.012756776,0.12934479,-0.121564835,0.17128886,1.0505682
6887025727524300416,313.911156639015,-14.067343113476475,80.20475279430592,0.04034859,1420.7548362581806,0.04367325,-472.2664817393054,0.029530915,-140.85889,0.44089863,12.900693,0.03424395,0.0147589585,0.1751272,0.213447,0.045944653,-0.008313075,-0.2636368,-0.13530052,-0.026160656,-0.2777271,-0.41549668,0.098924145,1.2622904
2042871958509344896,287.1236406175739,32.28000653137807,80.18352733038917,0.016135003,-199.46021173492505,0.015616198,-224.30726128468712,0.016739478,-2.1432865,0.20947161,10.66505,0.01243584,0.013420983,-0.06922067,-0.048977185,0.0891629,-0.021251041,-0.12105007,-0.12593985,-0.14030421,-0.13428065,0.03320106,-0.09966171,1.0800501
6347643496607835520,290.23830738848443,-82.55995922053808,80.11338272909568,0.020635756,342.29999589806636,0.025329312,-1230.296500318068,0.022139486,-10.585916,0.23887245,11.412538,0.016313588,0.017385202,-0.008998973,-0.18982345,-0.16035943,-0.094174564,0.03464235,0.11422725,-0.28160247,-0.2906903,0.1535588,-0.033379477,0.9607942
